time,rayId,X,Y,Z,intensity
0.400525,18,7.31109,0.0638029,-0.319221,0.0135805
0.400525,19,12.375,0.107995,-0.324062,0.0080282
0.400525,20,40.178,0.350628,-0.350641,0.00247347
0.400525,21,0,0,0,0
0.400525,22,0,0,0,0
0.400525,23,0,0,0,0
0.400525,24,7.30881,0.191388,-0.319219,0.0135806
0.400525,25,12.3711,0.323948,-0.324059,0.00802829
0.400525,26,40.1643,1.05174,-0.350628,0.00247356
0.400525,27,0,0,0,0
0.400525,28,0,0,0,0
0.400525,29,0,0,0,0
0.400525,30,7.30426,0.318911,-0.319215,0.0135808
0.400525,31,12.3632,0.53979,-0.324051,0.00802847
0.400525,32,39.494,1.72435,-0.344988,0.00247375
0.400525,33,0,0,0,0
0.400525,34,0,0,0,0
0.400525,35,0,0,0,0
0.500123,0,7.43712,-0.324712,-0.325021,0.0133966
0.500123,1,12.7091,-0.554893,-0.333117,0.00784419
0.500123,2,43.5585,-1.9018,-0.380491,0.00228941
0.500123,3,0,0,0,0
0.500123,4,0,0,0,0
0.500123,5,0,0,0,0
0.500123,6,7.44183,-0.194871,-0.325028,0.0133963
0.500123,7,12.7174,-0.333016,-0.33313,0.00784389
0.500123,8,43.5907,-1.14146,-0.380541,0.00228911
0.500123,9,0,0,0,0
0.500123,10,0,0,0,0
0.500123,11,0,0,0,0
0.500123,12,7.44418,-0.0649643,-0.325032,0.0133961
0.500123,13,12.7215,-0.111019,-0.333136,0.00784374
0.500123,14,43.6068,-0.380551,-0.380565,0.00228896
0.500123,15,0,0,0,0
0.500123,16,0,0,0,0
0.500123,17,0,0,0,0
0.500123,18,7.44417,0.0649643,-0.325032,0.0133961
0.500123,19,12.7215,0.111019,-0.333136,0.00784374
0.500123,20,43.6068,0.380551,-0.380565,0.00228896
0.500123,21,0,0,0,0
0.500123,22,0,0,0,0
0.500123,23,0,0,0,0
0.500123,24,7.44183,0.194871,-0.325028,0.0133963
0.500123,25,12.7174,0.333016,-0.33313,0.00784389
0.500123,26,43.5907,1.14146,-0.380541,0.00228911
0.500123,27,0,0,0,0
0.500123,28,0,0,0,0
0.500123,29,0,0,0,0
0.500123,30,7.43712,0.324712,-0.325021,0.0133966
0.500123,31,12.7091,0.554892,-0.333117,0.00784419
0.500123,32,42.864,1.87148,-0.374425,0.00228941
0.500123,33,0,0,0,0
0.500123,34,0,0,0,0
0.500123,35,0,0,0,0
0.609668,0,7.60617,-0.332092,-0.332409,0.0131692
0.609668,1,13.159,-0.574535,-0.344909,0.00761672
0.609668,2,48.6252,-2.12302,-0.42475,0.00206188
0.609668,3,0,0,0,0
0.609668,4,0,0,0,0
0.609668,5,0,0,0,0
0.609668,6,7.61106,-0.199303,-0.33242,0.0131688
0.609668,7,13.1678,-0.344811,-0.344929,0.00761628
0.609668,8,48.6651,-1.27434,-0.424839,0.00206144
0.609668,9,0,0,0,0
0.609668,10,0,0,0,0
0.609668,11,0,0,0,0
0.609668,12,7.6135,-0.066442,-0.332425,0.0131686
0.609668,13,13.1722,-0.114952,-0.344939,0.00761607
0.609668,14,48.6851,-0.424868,-0.424884,0.00206122
0.609668,15,0,0,0,0
0.609668,16,0,0,0,0
0.609668,17,0,0,0,0
0.609668,18,7.6135,0.066442,-0.332425,0.0131686
0.609668,19,13.1722,0.114952,-0.344939,0.00761607
0.609668,20,48.6851,0.424868,-0.424884,0.00206122
0.609668,21,0,0,0,0
0.609668,22,0,0,0,0
0.609668,23,0,0,0,0
0.609668,24,7.61106,0.199302,-0.33242,0.0131688
0.609668,25,13.1678,0.344811,-0.344929,0.00761629
0.609668,26,48.6651,1.27434,-0.424839,0.00206144
0.609668,27,0,0,0,0
0.609668,28,0,0,0,0
0.609668,29,0,0,0,0
0.609668,30,7.60617,0.332092,-0.332409,0.0131692
0.609668,31,13.159,0.574535,-0.344909,0.00761672
0.609668,32,48.6251,2.12302,-0.424749,0.00206188
0.609668,33,0,0,0,0
0.609668,34,0,0,0,0
0.609668,35,0,0,0,0
0.700342,0,7.76673,-0.339103,-0.339426,0.0129611
0.700342,1,13.5962,-0.593621,-0.356367,0.0074085
0.700342,2,54.3578,-2.37331,-0.474826,0.0018536
0.700342,3,0,0,0,0
0.700342,4,0,0,0,0
0.700342,5,0,0,0,0
0.700342,6,7.77181,-0.203512,-0.339441,0.0129606
0.700342,7,13.6055,-0.356272,-0.356394,0.00740794
0.700342,8,54.4075,-1.42471,-0.47497,0.00185304
0.700342,9,0,0,0,0
0.700342,10,0,0,0,0
0.700342,11,0,0,0,0
0.700342,12,7.77434,-0.0678457,-0.339448,0.0129603
0.700342,13,13.6101,-0.118774,-0.356408,0.00740766
0.700342,14,54.4323,-0.475024,-0.475042,0.00185276
0.700342,15,0,0,0,0
0.700342,16,0,0,0,0
0.700342,17,0,0,0,0
0.700342,18,7.77434,0.0678456,-0.339448,0.0129603
0.700342,19,13.6101,0.118774,-0.356408,0.00740766
0.700342,20,54.4323,0.475023,-0.475041,0.00185276
0.700342,21,0,0,0,0
0.700342,22,0,0,0,0
0.700342,23,0,0,0,0
0.700342,24,7.77181,0.203512,-0.339441,0.0129606
0.700342,25,13.6055,0.356272,-0.356394,0.00740794
0.700342,26,54.4074,1.42471,-0.474969,0.00185304
0.700342,27,0,0,0,0
0.700342,28,0,0,0,0
0.700342,29,0,0,0,0
0.700342,30,7.76673,0.339103,-0.339426,0.0129611
0.700342,31,13.5961,0.593621,-0.356367,0.0074085
0.700342,32,54.3577,2.37331,-0.474824,0.00185361
0.700342,33,0,0,0,0
0.700342,34,0,0,0,0
0.700342,35,0,0,0,0
0.809861,0,7.93679,-0.346528,-0.346858,0.0127484
0.809861,1,14.0701,-0.614313,-0.368789,0.00719561
0.809861,2,61.7274,-2.69507,-0.5392,0.00164066
0.809861,3,0,0,0,0
0.809861,4,0,0,0,0
0.809861,5,0,0,0,0
0.809861,6,7.94206,-0.20797,-0.346877,0.0127477
0.809861,7,14.08,-0.368698,-0.368824,0.00719492
0.809861,8,61.791,-1.61805,-0.539427,0.00163997
0.809861,9,0,0,0,0
0.809861,10,0,0,0,0
0.809861,11,0,0,0,0
0.809861,12,7.94469,-0.0693323,-0.346886,0.0127473
0.809861,13,14.085,-0.122918,-0.368842,0.00719457
0.809861,14,61.8228,-0.53952,-0.53954,0.00163962
0.809861,15,0,0,0,0
0.809861,16,0,0,0,0
0.809861,17,0,0,0,0
0.809861,18,7.94469,0.0693322,-0.346886,0.0127473
0.809861,19,14.085,0.122918,-0.368842,0.00719458
0.809861,20,61.8227,0.539519,-0.539539,0.00163963
0.809861,21,0,0,0,0
0.809861,22,0,0,0,0
0.809861,23,0,0,0,0
